img_id,difference,cords,x
31754426_1940-11-23_1963.jpg,0.8296585286420525,"(134, 150, 168, 168)",168
14689328_1984-11-25_2009.jpg,1.0195844675787624,"(64, 47, 106, 106)",106
36493109_1916-02-08_1946.jpg,1.0614190644475952,"(73, 49, 116, 116)",116
2462583_1935-10-12_1961.jpg,1.0962226006739737,"(149, 108, 212, 212)",212
3819696_1984-05-04_2011.jpg,1.118034896165418,"(94, 75, 190, 190)",190
32863655_1904-07-05_1947.jpg,1.134250949168373,"(136, 103, 258, 258)",258
4661984_1946-04-29_2014.jpg,1.1370628767466084,"(117, 95, 228, 228)",228
13821502_1987-11-14_2008.jpg,1.1407269443619965,"(63, 54, 110, 110)",110
956396_1929-11-02_1973.jpg,1.1445653687637656,"(109, 85, 171, 171)",171
43180406_1987-04-21_2014.jpg,1.168437599769828,"(39, 30, 83, 83)",83
2824044_1956-11-14_1990.jpg,1.1728147929215464,"(152, 142, 112, 112)",112
17273988_1934-06-03_2006.jpg,1.1789978840553752,"(140, 103, 253, 253)",253
41998383_1981-11-11_2013.jpg,1.1798076263661432,"(64, 47, 111, 111)",111
5374082_1939-06-16_1971.jpg,1.1856682698786103,"(140, 109, 190, 190)",190
2509074_1964-04-17_2013.jpg,1.186941365058451,"(82, 54, 108, 108)",108
5989747_1945-06-25_2013.jpg,1.187194191016321,"(106, 72, 214, 214)",214
20155503_1979-01-24_2014.jpg,1.189322722528498,"(47, 55, 112, 112)",112
35659159_1989-09-13_2013.jpg,1.192989901819516,"(45, 46, 84, 84)",84
251011_1942-11-24_2012.jpg,1.1961253170304498,"(122, 85, 201, 201)",201
3603119_1940-08-28_2011.jpg,1.1995296896163552,"(94, 103, 277, 277)",277
4529378_1979-10-11_2010.jpg,1.2009457500418013,"(77, 57, 103, 103)",103
5711929_1950-12-05_2009.jpg,1.2297141024839875,"(73, 43, 146, 146)",146
5248734_1973-09-16_2015.jpg,1.2316921461893144,"(114, 119, 232, 232)",232
5096070_1957-04-27_1985.jpg,1.2334902594753216,"(157, 101, 232, 232)",232
21146289_1943-11-23_1998.jpg,1.235732001823856,"(49, 37, 81, 81)",81
27337_1963-01-14_2009.jpg,1.236952035786814,"(138, 111, 259, 259)",259
4524262_1933-08-01_1981.jpg,1.2480931249517229,"(83, 47, 147, 147)",147
13145908_1987-10-10_2012.jpg,1.2563891103948903,"(68, 62, 143, 143)",143
43619465_1989-03-22_2014.jpg,1.259013596946014,"(99, 67, 154, 154)",154
4442227_1901-11-11_1954.jpg,1.259397347668303,"(52, 38, 84, 84)",84
870155_1962-12-01_2010.jpg,1.2599168297549257,"(103, 105, 242, 242)",242
18977175_1987-03-10_2012.jpg,1.260994186724572,"(57, 46, 101, 101)",101
44869165_1973-08-18_2014.jpg,1.2623220847879415,"(56, 54, 119, 119)",119
19590923_1980-06-25_2012.jpg,1.2672203270933733,"(60, 58, 139, 139)",139
9751046_1958-06-24_2010.jpg,1.2720030190622704,"(46, 47, 87, 87)",87
3201113_1972-11-09_2015.jpg,1.272916140715007,"(150, 91, 262, 262)",262
20896480_1966-09-24_2014.jpg,1.275870873136698,"(106, 100, 244, 244)",244
43421700_1993-10-13_2013.jpg,1.2826108130631309,"(79, 54, 129, 129)",129
530556_1929-02-23_2009.jpg,1.2851103311213603,"(70, 46, 115, 115)",115
19560490_1936-12-03_1964.jpg,1.285487753742872,"(100, 108, 255, 255)",255
16215465_1993-01-04_2010.jpg,1.2856897197698391,"(62, 44, 94, 94)",94
791668_1925-03-07_1943.jpg,1.290825485515734,"(92, 93, 266, 266)",266
2444780_1970-11-27_2010.jpg,1.292466276180377,"(76, 56, 174, 174)",174
3538487_1947-02-02_2002.jpg,1.2947523883226395,"(114, 76, 200, 200)",200
