image_name,cords
37757795_1954-05-04_1980.jpg,"(112, 62, 230, 230)"
27489779_1926-08-27_1978.jpg,"(25, 26, 68, 68)"
34556536_1989-11-10_2011.jpg,"(79, 55, 113, 113)"
2429090_1962-09-01_1986.jpg,"(48, 30, 141, 141)"
38499858_1960-09-06_2002.jpg,"(75, 53, 185, 185)"
2263372_1987-08-06_2005.jpg,"(105, 73, 209, 209)"
426193_1971-05-20_2015.jpg,"(115, 93, 296, 296)"
453439_1951-06-26_2013.jpg,"(68, 72, 125, 125)"
8615518_1985-09-03_2012.jpg,"(280, 138, 26, 26)"
372329_1974-11-22_2015.jpg,"(119, 76, 84, 84)"
24473999_1978-05-12_2009.jpg,"(39, 24, 64, 64)"
10238072_1932-10-13_1985.jpg,"(89, 56, 131, 131)"
21927307_1979-11-10_2013.jpg,"(73, 45, 217, 217)"
32923222_1992-01-10_2015.jpg,"(40, 27, 65, 65)"
8234617_1946-07-26_1968.jpg,"(29, 36, 95, 95)"
424656_1952-04-06_2013.jpg,"(64, 61, 143, 143)"
569014_1953-06-05_2015.jpg,"(47, 48, 159, 159)"
577042_1972-02-02_2009.jpg,"(146, 108, 236, 236)"
36859831_1946-12-28_1966.jpg,"(145, 92, 261, 261)"
3774977_1938-06-17_2009.jpg,"(84, 97, 270, 270)"
39996426_1998-07-07_2014.jpg,"(98, 103, 254, 254)"
1043762_1915-01-03_1993.jpg,"(34, 30, 67, 67)"
23103251_1989-01-16_2010.jpg,"(45, 44, 152, 152)"
275493_1927-07-07_1974.jpg,"(40, 30, 64, 64)"
284282_1913-05-16_1949.jpg,"(36, 40, 139, 139)"
22141512_1952-08-17_2008.jpg,"(42, 55, 141, 141)"
2190939_1970-03-02_2008.jpg,"(53, 38, 89, 89)"
24297613_1992-02-04_2010.jpg,"(69, 47, 91, 91)"
22117608_1981-11-20_2009.jpg,"(99, 72, 161, 161)"
19238357_1971-03-16_2006.jpg,"(59, 63, 160, 160)"
13051378_1987-07-23_2014.jpg,"(75, 67, 194, 194)"
